image_index,mse,annotation
1123,0.3450072,correct
1124,1.5698055,correct
1125,0.8533944,correct
1126,4.6735506,correct
1127,0.79635966,correct
1128,1.2116575,correct
1129,0.28783345,correct
1130,0.9416652,correct
1131,0.38854966,correct
1132,0.502882,correct
1133,0.42131376,correct
1134,0.790264,correct
1135,0.33623588,correct
1136,1.0352526,correct
1137,568.2125,incorrect
1138,1.5239975,correct
1139,0.8663414,correct
1140,2.11584,correct
1141,0.5773647,correct
1142,2.3843071,correct
1143,0.6111164,correct
1144,4.43391,correct
1145,0.77371675,correct
1146,0.6347184,correct
1147,0.42397416,correct
1148,2661.7126,incorrect
1149,0.7229074,correct
1150,0.5906244,correct
1151,0.552106,correct
1152,0.70875424,correct
1153,0.45722562,correct
1154,0.4229032,correct
1155,0.61535096,correct
1156,1.4059191,correct
1157,0.9575833,correct
1158,1.1862512,correct
1159,0.32224095,correct
1160,0.8409459,correct
1161,0.6670722,correct
1162,1.041039,correct
1163,0.8537084,correct
1164,0.29952133,correct
1165,0.5645033,correct
1166,1.2165673,correct
1167,10.358959,incorrect
1168,0.31530046,correct
1169,0.5256158,correct
1170,0.6349995,correct
1171,0.97257984,correct
1172,1.1754751,correct
1173,0.2807914,correct
1174,0.9619226,correct
1175,0.4054361,correct
1176,1.2629678,correct
1177,0.65469706,correct
1178,0.4674614,correct
1179,0.35922635,correct
1180,1.0417117,correct
1181,1.1408918,correct
1182,3.7221231,correct
1183,0.40036795,correct
1184,671.76965,incorrect
1185,0.9010323,correct
1186,214.93433,incorrect
1187,0.88859415,correct
1188,0.49279714,correct
1189,0.67535466,correct
1190,1.1921902,correct
1191,1.6300781,correct
1192,0.6469679,correct
1193,0.48196793,correct
1194,0.91461647,correct
1195,0.8720873,correct
1196,0.6438614,correct
1197,0.5947418,correct
1198,0.6941838,correct
1199,0.75092024,correct
1200,0.64067054,correct
1201,1.1602955,correct
1202,0.96180797,correct
1203,0.97771907,correct
1204,1.9125462,correct
1205,1.1333036,correct
1206,0.25807315,correct
1207,0.45816234,correct
1208,0.36007518,correct
1209,0.49480426,correct
1210,1.0540766,correct
1211,0.4479692,correct
1212,0.85897636,correct
1213,0.5914061,correct
1214,1.3726739,correct
1215,0.5793567,correct
1216,53.33583,incorrect
1217,0.561989,correct
1218,1.0815464,correct
1219,0.7756617,correct
1220,0.2655759,correct
1221,2.0185187,correct
1222,0.36425862,correct
1223,0.19384728,correct
1224,11.579689,incorrect
1225,1.1445316,correct
1226,1003.5777,incorrect
1227,0.2990765,correct
1228,0.8741449,correct
1229,0.47800645,correct
1230,1.1563658,correct
1231,0.9349455,correct
1232,0.46455884,correct
1233,2.1941237,correct
1234,0.4756439,correct
1235,1.0269482,correct
1236,0.47990453,correct
1237,0.9095646,correct
1238,0.5003251,correct
1239,0.45553914,correct
1240,632.1102,incorrect
